model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,2x2,2,0.2275,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,3x1,3,0.115,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,3x2,4,0.515,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,4x1,5,0.33,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,5x1,6,0.505,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,6x1,7,0.635,3x2 → 6x1
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,7x1,8,0.67,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,8x1,9,0.695,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,9x1,10,0.7325,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,10x1,11,0.7675,
openai_gpt-oss-120B_high,gpt-oss-120B-high,6,3,No budget,12,0.9025,
gpt-5-mini,gpt-5-mini,7,1,1x4,0,0.6,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,1,2x1,1,0.66,
gpt-5-mini,gpt-5-mini,7,1,2x2,2,0.805,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,1,3x1,3,0.8075,
gpt-5-mini,gpt-5-mini,7,1,3x2,4,0.89,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,1,4x1,5,0.89,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,1,5x1,6,0.935,
gpt-5-mini,gpt-5-mini,7,1,6x1,7,0.9675,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,1,7x1,8,0.965,
gpt-5-mini,gpt-5-mini,7,1,8x1,9,0.9875,
gpt-5-mini,gpt-5-mini,7,1,9x1,10,0.9725,
gpt-5-mini,gpt-5-mini,7,1,10x1,11,0.985,
gpt-5-mini,gpt-5-mini,7,1,No budget,12,0.9825,
gpt-5-mini,gpt-5-mini,7,2,1x4,0,0.2475,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,2,2x1,1,0.155,
gpt-5-mini,gpt-5-mini,7,2,2x2,2,0.4075,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,2,3x1,3,0.3825,
gpt-5-mini,gpt-5-mini,7,2,3x2,4,0.635,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,2,4x1,5,0.5625,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,2,5x1,6,0.685,
gpt-5-mini,gpt-5-mini,7,2,6x1,7,0.7675,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,2,7x1,8,0.8075,
gpt-5-mini,gpt-5-mini,7,2,8x1,9,0.815,
gpt-5-mini,gpt-5-mini,7,2,9x1,10,0.8475,
gpt-5-mini,gpt-5-mini,7,2,10x1,11,0.87,
gpt-5-mini,gpt-5-mini,7,2,No budget,12,0.9075,
gpt-5-mini,gpt-5-mini,7,3,1x4,0,0.1325,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,3,2x1,1,0.0075,
gpt-5-mini,gpt-5-mini,7,3,2x2,2,0.1625,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,3,3x1,3,0.0875,
gpt-5-mini,gpt-5-mini,7,3,3x2,4,0.4525,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,3,4x1,5,0.2375,1x4 → 2x2 → 4x1
gpt-5-mini,gpt-5-mini,7,3,5x1,6,0.4775,
gpt-5-mini,gpt-5-mini,7,3,6x1,7,0.635,3x2 → 6x1
gpt-5-mini,gpt-5-mini,7,3,7x1,8,0.6825,
gpt-5-mini,gpt-5-mini,7,3,8x1,9,0.7125,
gpt-5-mini,gpt-5-mini,7,3,9x1,10,0.76,
gpt-5-mini,gpt-5-mini,7,3,10x1,11,0.7575,
gpt-5-mini,gpt-5-mini,7,3,No budget,12,0.8575,
