model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,1,7x1,8,0.835,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,1,8x1,9,0.84,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,1,9x1,10,0.82,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,1,10x1,11,0.8525,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,1,No budget,12,0.7875,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,1x4,0,0.1675,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,2x1,1,0.1575,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,2x2,2,0.1925,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,3x1,3,0.3175,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,3x2,4,0.3,3x2 → 6x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,4x1,5,0.465,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,5x1,6,0.555,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,6x1,7,0.64,3x2 → 6x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,7x1,8,0.69,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,8x1,9,0.7,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,9x1,10,0.7375,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,10x1,11,0.7325,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,2,No budget,12,0.6675,
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,1x4,0,0.04,1x4 → 2x2 → 4x1
Qwen_Qwen3-4B-Thinking-2507,Qwen3-4B,1,3,2x1,1,0.0075,
