prompt_mode,series,model,k,accuracy
exact_k,model,openai_gpt-oss-120B_medium,3,0.02
exact_k,model,openai_gpt-oss-20B_high,1,0.385
exact_k,model,openai_gpt-oss-20B_high,2,0.13
exact_k,model,openai_gpt-oss-20B_high,3,0.08
exact_k,model,openai_gpt-oss-20B_medium,1,0.235
exact_k,model,openai_gpt-oss-20B_medium,2,0.065
exact_k,model,openai_gpt-oss-20B_medium,3,0.055
exact_k,uniform_random,,1,0.06880554006985222
exact_k,uniform_random,,2,0.009584913220594335
exact_k,uniform_random,,3,0.001826366638252491
