dataset,guesser_label,examiner_label,turn,pass_mass,n
common,Qwen3-30B,GPT-5-mini,6,0.2675615529776175,111
common,Qwen3-30B,GPT-5-mini,7,0.25675656627761617,110
common,Qwen3-30B,GPT-5-mini,8,0.28739158796051056,108
common,Qwen3-30B,GPT-5-mini,9,0.32547680902240894,108
common,Qwen3-30B,GPT-5-mini,10,0.31343158109855973,106
common,Qwen3-30B,GPT-5-mini,11,0.3239857557598305,103
common,Qwen3-30B,GPT-5-mini,12,0.3675375015463868,98
common,Qwen3-30B,GPT-5-mini,13,0.30254102954698375,96
common,Qwen3-30B,GPT-5-mini,14,0.3010394489394099,94
common,Qwen3-30B,GPT-5-mini,15,0.30029523325033486,91
common,Qwen3-30B,GPT-5-mini,16,0.31852623752007214,88
common,Qwen3-30B,GPT-5-mini,17,0.3340034760029798,85
common,Qwen3-30B,GPT-5-mini,18,0.35579807557153836,83
common,Qwen3-30B,GPT-5-mini,19,0.3318460434018086,82
common,Qwen3-30B,GPT-5-mini,20,0.322523900450604,79
common,Qwen3-4B,GPT-5-mini,1,0.18642997456293264,111
common,Qwen3-4B,GPT-5-mini,2,0.12078611309036026,111
common,Qwen3-4B,GPT-5-mini,3,0.12887290201978333,111
common,Qwen3-4B,GPT-5-mini,4,0.16584915665304537,111
common,Qwen3-4B,GPT-5-mini,5,0.1641715096047889,111
common,Qwen3-4B,GPT-5-mini,6,0.20722031458614742,111
common,Qwen3-4B,GPT-5-mini,7,0.2056439563029104,111
common,Qwen3-4B,GPT-5-mini,8,0.21822089494425026,110
common,Qwen3-4B,GPT-5-mini,9,0.2775138621865173,109
common,Qwen3-4B,GPT-5-mini,10,0.3337550555015768,107
common,Qwen3-4B,GPT-5-mini,11,0.33657648077708685,107
common,Qwen3-4B,GPT-5-mini,12,0.36123746511417393,107
common,Qwen3-4B,GPT-5-mini,13,0.3845839047829009,105
common,Qwen3-4B,GPT-5-mini,14,0.3941201161831302,102
common,Qwen3-4B,GPT-5-mini,15,0.4189308961138531,99
common,Qwen3-4B,GPT-5-mini,16,0.4792125949854181,93
common,Qwen3-4B,GPT-5-mini,17,0.4807108133895278,91
common,Qwen3-4B,GPT-5-mini,18,0.49583430296161496,87
common,Qwen3-4B,GPT-5-mini,19,0.40328013109303357,76
thing,Gemini-3-flash,GPT-5-mini,1,0.080048768042524,200
thing,Gemini-3-flash,GPT-5-mini,2,0.07839032901146409,200
thing,Gemini-3-flash,GPT-5-mini,3,0.15321777119712757,200
thing,Gemini-3-flash,GPT-5-mini,4,0.2298689768486052,200
thing,Gemini-3-flash,GPT-5-mini,5,0.2157875631572427,200
thing,Gemini-3-flash,GPT-5-mini,6,0.19852340339103186,200
thing,Gemini-3-flash,GPT-5-mini,7,0.1980874817281544,196
thing,Gemini-3-flash,GPT-5-mini,8,0.20607557190968828,194
thing,Gemini-3-flash,GPT-5-mini,9,0.20756714070295856,192
thing,Gemini-3-flash,GPT-5-mini,10,0.19171327537678806,186
thing,Gemini-3-flash,GPT-5-mini,11,0.20279073287964475,175
thing,Gemini-3-flash,GPT-5-mini,12,0.151317276920389,167
thing,Gemini-3-flash,GPT-5-mini,13,0.1919710961932144,157
thing,Gemini-3-flash,GPT-5-mini,14,0.16809340208296997,151
thing,Gemini-3-flash,GPT-5-mini,15,0.15482601592729053,145
thing,Gemini-3-flash,GPT-5-mini,16,0.13430455435532482,134
thing,Gemini-3-flash,GPT-5-mini,17,0.13613444247186418,125
thing,Gemini-3-flash,GPT-5-mini,18,0.10997866727513192,104
thing,Gemini-3-flash,GPT-5-mini,19,0.08857026243064096,39
thing,GPT-5,GPT-5-mini,1,0.1440162492208814,200
thing,GPT-5,GPT-5-mini,2,0.10674413688568009,200
thing,GPT-5,GPT-5-mini,3,0.15607398874389314,200
thing,GPT-5,GPT-5-mini,4,0.23197061593076104,200
thing,GPT-5,GPT-5-mini,5,0.30675079935341565,200
thing,GPT-5,GPT-5-mini,6,0.34743815845692244,200
thing,GPT-5,GPT-5-mini,7,0.40252907867864773,200
thing,GPT-5,GPT-5-mini,8,0.4483035608816115,197
thing,GPT-5,GPT-5-mini,9,0.48552047072157944,196
thing,GPT-5,GPT-5-mini,10,0.48667392869965637,192
thing,GPT-5,GPT-5-mini,11,0.5239650537845565,190
thing,GPT-5,GPT-5-mini,12,0.5513698102438696,187
thing,GPT-5,GPT-5-mini,13,0.5616535494629264,180
thing,GPT-5,GPT-5-mini,14,0.6116088935568024,174
thing,GPT-5,GPT-5-mini,15,0.5881074806943446,163
thing,GPT-5,GPT-5-mini,16,0.5998398169633492,152
thing,GPT-5,GPT-5-mini,17,0.6142117923533628,141
thing,GPT-5,GPT-5-mini,18,0.6236679778972993,133
thing,GPT-5,GPT-5-mini,19,0.6539327656374925,123
thing,GPT-5,GPT-5-mini,20,0.6329377357268006,114
thing,GPT-5-mini,GPT-5-mini,1,0.1513484645721723,200
thing,GPT-5-mini,GPT-5-mini,2,0.12461329683807111,200
thing,GPT-5-mini,GPT-5-mini,3,0.21123847757808517,200
thing,GPT-5-mini,GPT-5-mini,4,0.27008270017881975,200
thing,GPT-5-mini,GPT-5-mini,5,0.3518853813275698,200
thing,GPT-5-mini,GPT-5-mini,6,0.4208178779966113,199
thing,GPT-5-mini,GPT-5-mini,7,0.4555268383918244,199
thing,GPT-5-mini,GPT-5-mini,8,0.5092373643805859,196
thing,GPT-5-mini,GPT-5-mini,9,0.5573003400670391,196
thing,GPT-5-mini,GPT-5-mini,10,0.5905634464658311,189
thing,GPT-5-mini,GPT-5-mini,11,0.6100597401365091,184
thing,GPT-5-mini,GPT-5-mini,12,0.64074927765981,182
