row_order,metric,row_label,k,pearson_r,spearman_rho
0,mean_early_min_set_hit_rate,Avg early-turn query correctness (turn 1-3),1,0.6020176448114685,0.6043956043956044
0,mean_early_min_set_hit_rate,Avg early-turn query correctness (turn 1-3),2,0.3769907586221068,0.4603535396429632
0,mean_early_min_set_hit_rate,Avg early-turn query correctness (turn 1-3),3,-0.048487240652668,-0.0241758241758241
1,mean_late_min_set_hit_rate,Avg late-turn query correctness (turn 4+),1,0.4639988260289081,0.4769230769230769
1,mean_late_min_set_hit_rate,Avg late-turn query correctness (turn 4+),2,0.4627836606557819,0.5704859653948683
1,mean_late_min_set_hit_rate,Avg late-turn query correctness (turn 4+),3,0.4835473278642641,0.512087912087912
2,mean_finish_turn,Avg number of turns,1,0.1865065871889277,0.0109890109890109
2,mean_finish_turn,Avg number of turns,2,0.4544944784992735,0.3502211138910581
2,mean_finish_turn,Avg number of turns,3,0.6584670697963118,0.5296703296703297
